name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
Desi Cream Junction,Yes,Yes,3.7/5,36,Jayanagar,Casual Dining,Vegetarian,"Chinese, North Indian, Pizza, Italian",650,Delivery
Drunken Monkey,Yes,No,3.8/5,52,Kumaraswamy Layout,"Beverage Shop, Quick Bites",,"Beverages, Fast Food",400,Delivery
Ruchi's Corner,Yes,No,2.7/5,123,Banashankari,Quick Bites,,Fast Food,200,Delivery
Tandoori Bytes,Yes,No,3.6/5,59,Kumaraswamy Layout,Casual Dining,,North Indian,700,Delivery
Bangalore Donne Biriyani,Yes,No,3.2/5,4,Kumaraswamy Layout,Quick Bites,,"South Indian, Biryani",300,Delivery
SGS Non Veg - Gundu Pulav,Yes,No,3.8/5,101,Banashankari,Quick Bites,,"Biryani, Fast Food",400,Delivery
Keventers,Yes,No,3.7/5,54,Banashankari,"Beverage Shop, Dessert Parlor",,"Desserts, Beverages, Ice Cream",400,Delivery
Sree Sagar,Yes,No,,0,Banashankari,Quick Bites,,South Indian,200,Delivery
Navi Food Point,Yes,No,3.6/5,22,Basavanagudi,Quick Bites,,Fast Food,200,Delivery
Shawarma Inc,Yes,No,3.1/5,31,Banashankari,Takeaway,,"Rolls, Lebanese",250,Delivery
The Cafe Nuts and Bolts,Yes,No,3.0/5,29,Kumaraswamy Layout,Cafe,,"Cafe, Fast Food, Chinese",500,Delivery
AM WOW,Yes,No,3.4/5,6,Jayanagar,Beverage Shop,,Beverages,100,Delivery
Lalbagh Grand,Yes,No,3.0/5,22,Basavanagudi,Quick Bites,,"South Indian, North Indian, Chinese",250,Delivery
Funjabi Curries,Yes,No,2.9/5,11,Banashankari,Quick Bites,,North Indian,500,Delivery
Eat Repeat,Yes,No,3.9/5,101,Basavanagudi,Quick Bites,"Sweet Pongal, Curd Rice",South Indian,150,Delivery
Salut,Yes,Yes,4.1/5,442,Jayanagar,"Pub, Casual Dining","Pesto Pizza, Buffalo Wings, Cocktails, Beer, Egg Ghee Roast, Brownie, Pepper Chicken","Continental, Finger Food, Seafood, Pizza","1,200",Delivery
Nammura Donne Biriyani,Yes,No,3.5/5,155,Basavanagudi,Quick Bites,,"Biryani, Fast Food",400,Delivery
Lassi Stop,Yes,No,3.4/5,12,Banashankari,"Beverage Shop, Quick Bites",,"Beverages, Fast Food, Juices",150,Delivery
Dakshin Kitchen,Yes,No,3.6/5,15,Basavanagudi,Quick Bites,,South Indian,100,Delivery
Sri Sai Cafe,Yes,No,3.5/5,10,Basavanagudi,Quick Bites,,South Indian,200,Delivery
Sri Sai 99 Variety Dosa,Yes,No,3.8/5,25,Banashankari,Quick Bites,,South Indian,300,Delivery
Utsav Restaurant,Yes,No,3.8/5,61,Banashankari,Quick Bites,,"North Indian, Chinese",300,Delivery
Crunch and Munch,Yes,No,3.7/5,23,Uttarahalli,Quick Bites,,"Chinese, Street Food, Ice Cream",300,Delivery
Food Geek,Yes,No,3.8/5,25,Basavanagudi,Quick Bites,,"Sandwich, Fast Food, Rolls",350,Delivery
Sri Krishna Aramane,Yes,No,3.7/5,40,Kumaraswamy Layout,Quick Bites,,"South Indian, North Indian, Chinese, Fast Food",200,Delivery
Great Indian Rolls,Yes,No,3.3/5,4,Basavanagudi,Quick Bites,,Rolls,100,Delivery
Chats Point,Yes,No,3.4/5,8,Basavanagudi,Quick Bites,,"Fast Food, Street Food",150,Delivery
Food Point,Yes,No,3.5/5,32,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese",300,Delivery
Swarga Ruchi,Yes,No,3.3/5,10,Basavanagudi,Quick Bites,,South Indian,200,Delivery
Kolkata King,Yes,No,3.4/5,6,Basavanagudi,Quick Bites,,"Fast Food, Rolls",300,Delivery
Sandwich Mama's And Frozen Monster,Yes,No,3.8/5,53,Jayanagar,Quick Bites,"Waffles, Sandwiches, Maggi, Thick Shakes, Chocolate Sandwich","Ice Cream, Beverages, Fast Food",250,Delivery
New Rajadhani Spicy,Yes,No,3.7/5,67,Kumaraswamy Layout,Casual Dining,,North Indian,700,Delivery
Big Mishra Pedha,Yes,No,2.9/5,23,Jayanagar,Sweet Shop,,Mithai,250,Delivery
VEGeatz,Yes,No,3.4/5,19,Banashankari,Quick Bites,,"South Indian, North Indian",200,Delivery
Foodizo,Yes,No,3.6/5,24,Banashankari,Quick Bites,,"Desserts, Fast Food, Continental",300,Delivery
Food Springs,Yes,No,4.0/5,232,Jayanagar,Quick Bites,"Honey Chilli Potatoes, Nachos, Lemonade, Hakka Noodles, Babycorn Manchurian, Mushroom Manchurian, Spring Roll","South Indian, Chinese",400,Delivery
Chung's Chinese Corner,Yes,No,3.9/5,221,Jayanagar,Casual Dining,"Manchow Soup, Momos, Wonton Soup, Chowmein, American Chopsuey, Chop Suey, Manchurian",Chinese,700,Delivery
Eurasia Pasta and Barbeque by Little Italy,Yes,Yes,4.1/5,1063,Jayanagar,"Casual Dining, Bar","Pasta, Pizza, Nachos, Gelato, Ravioli, Jalapeno Poppers, Cocktails","Italian, Fast Food, Salad, BBQ","1,200",Delivery
Goli Vada Pav No. 1,Yes,No,3.7/5,93,Basavanagudi,Quick Bites,"Masala Vada Pav, Cheese Vada Pav, Fries",Street Food,200,Delivery
Ragoo's,Yes,No,3.9/5,233,Jayanagar,Casual Dining,"Corn Augratin, Lasagne, Fries, Garlic Bread, Pili Pili Pizza, Mexican Rice, Ravioli","Italian, Pizza, North Indian, Salad",800,Delivery
Pure & Natural,Yes,No,3.9/5,211,Jayanagar,Casual Dining,"Salads, Sandwiches, Pasta, Mocktails, Corn Sandwich, Garden Salad, Miso Salad","Fast Food, Continental, Beverages, Salad, Healthy Food",500,Delivery
Maiyas,Yes,No,4.0/5,1778,Jayanagar,Quick Bites,"Coffee, Thali, Kharabath, Masala Dosa, Idli Vada, Vanilla Ice Cream, Bisi Bele Bhaath","North Indian, South Indian, Fast Food, Juices",200,Delivery
Sip n Dine,Yes,No,3.6/5,218,Vijay Nagar,Casual Dining,"Veg Jaipuri, Neer Dosa, Kulcha, Pepper Chicken, Chilli Mushroom, Murgh Platter, Paneer Tikka","North Indian, Chinese, South Indian",800,Delivery
Cafe Mondo,Yes,No,3.7/5,514,Basavanagudi,Cafe,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge","Cafe, Italian, Beverages",600,Delivery
Jalpaan,Yes,Yes,4.0/5,866,Jayanagar,Casual Dining,"Mocktails, Tomato Soup, Pasta, Nachos, Chaat, Potli Biryani, Lassi","North Indian, Continental",900,Delivery
Kataria's Pakwan,Yes,No,3.2/5,96,Kumaraswamy Layout,Quick Bites,"Paratha, Lassi, Manchurian, Thali",North Indian,400,Delivery
Juicy Momos,Yes,No,3.5/5,80,Banashankari,Quick Bites,"Rolls, Burgers, Juicy Momos, Chicken Momo, Chocolate Momos, Mushroom Momo, Paneer Momos","Tibetan, Momos",250,Delivery
Amande Patisserie,Yes,No,4.0/5,73,Basavanagudi,Bakery,"Macaroon, Mousse, Caramel Eclair","Bakery, French, Desserts",300,Delivery
Anand Sweets and Savouries,Yes,No,3.9/5,84,Jayanagar,Sweet Shop,"Dahi Papadi Chaat, Papdi Chaat, Bhel Puri, Paratha, Kachori, Thali, Masala Poori","Mithai, Street Food",400,Delivery
Chicken Hunt,Yes,No,3.5/5,88,Banashankari,Quick Bites,Chicken Grill,"South Indian, North Indian, Chinese, Biryani",350,Delivery
Swadesh Tadka,Yes,No,3.5/5,179,Banashankari,Casual Dining,"Gulab Jamun, Roti, Masala Papad, Babycorn Manchurian, Paratha, Clear Soup, Biryani","North Indian, Chinese, Beverages",600,Delivery
Cane-O-La,Yes,No,3.8/5,61,Basavanagudi,Quick Bites,"Sugarcane Juice, Popcorn",Juices,100,Delivery
New Biryani Mane,Yes,No,3.7/5,128,Uttarahalli,Casual Dining,"Egg Biryani, Tandoori Chicken, Fish, Rumali Roti","North Indian, Chinese, Biryani, South Indian",450,Delivery
Upahara Darshini,Yes,No,3.8/5,339,Jayanagar,Quick Bites,"Rava Dosa, Roti, Masala Dosa, Kulcha, Sandwiches, Vada Pav, Idli","South Indian, North Indian, Chinese",400,Delivery
Karnataka Bhel House,Yes,No,4.1/5,449,Basavanagudi,Quick Bites,"Masala Poori, Bhel Puri, Panipuri, Chaat, Dahipuri, Sev Puri, Dahi Aloo Puri",Street Food,100,Delivery
Sreeraj Lassi Bar,Yes,No,4.1/5,210,Jayanagar,"Dessert Parlor, Beverage Shop","Faluda, Mango Lassi, Sweet Lassi, Fruit Salad, Shrikhand, Matka Kulfi, Pudina Lassi",Beverages,150,Delivery
Juice Junction Food Court,Yes,No,3.7/5,57,Basavanagudi,Quick Bites,,"Juices, South Indian, Chinese, Fast Food",200,Delivery
Bunt's Biriyani Palace,Yes,No,3.0/5,213,Banashankari,Quick Bites,"Neer Dosa, Sea Food, Pepper Chicken","North Indian, South Indian, Chinese, Biryani, Seafood",400,Delivery
Chai Point,Yes,No,3.2/5,208,Jayanagar,"Beverage Shop, Quick Bites","Ginger Chai, Ginger Tea, Banana Cake, Samosa, Masala Chai, Banana Walnut","Tea, Beverages, Fast Food",250,Delivery
Janahaar,Yes,No,3.8/5,70,Banashankari,Quick Bites,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",South Indian,100,Delivery
Redberrys,Yes,No,4.0/5,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Delivery
Utsav,Yes,No,3.7/5,59,Banashankari,Quick Bites,"Paratha, Kachori, Tea, Lassi, Samosa, Vada Pav","North Indian, Street Food",200,Delivery
Meat And Eat,Yes,No,3.1/5,10,Banashankari,Quick Bites,,"Fast Food, Burger",500,Delivery
Snacks Bite,Yes,No,3.0/5,9,Kumaraswamy Layout,Quick Bites,,"Fast Food, Momos",400,Delivery
The Spice Saga,Yes,No,3.7/5,124,Kumaraswamy Layout,Casual Dining,"Biryani, Chicken Grill, Butter Chicken","Biryani, North Indian, Chinese, Seafood",750,Delivery
Dakshin Cafe,Yes,No,3.7/5,19,Kumaraswamy Layout,Quick Bites,,South Indian,100,Delivery
Mr. Parathewala,Yes,No,,0,Jayanagar,"Takeaway, Delivery",,North Indian,300,Delivery
Kaulige Millet Corner,Yes,No,3.3/5,4,Basavanagudi,Quick Bites,,"Healthy Food, South Indian",150,Delivery
Ifruit Ice Cream,Yes,No,3.3/5,4,Kumaraswamy Layout,Dessert Parlor,,"Desserts, Ice Cream",150,Delivery
Havmor,Yes,No,3.8/5,21,Basavanagudi,Dessert Parlor,,"Ice Cream, Desserts",200,Delivery
Grand Food,Yes,No,3.4/5,8,Banashankari,"Quick Bites, Bakery",,"South Indian, Bakery, Chinese",250,Delivery
Dining Hut,Yes,No,3.5/5,10,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese, South Indian",400,Delivery
7 Hills Garden Restaurant,Yes,No,,0,Banashankari,Quick Bites,,"North Indian, Mughlai, Chinese",400,Delivery
Desi Swaad,Yes,No,3.5/5,10,Kumaraswamy Layout,Quick Bites,,North Indian,400,Delivery
Yummy Momos,Yes,No,3.2/5,4,Kumaraswamy Layout,Quick Bites,,"Momos, Tibetan, Chinese",200,Delivery
Masale Daan,Yes,No,3.1/5,4,Banashankari,Delivery,,North Indian,350,Delivery
Sri Manjunatha Tandoori Corner,Yes,No,,0,Uttarahalli,Quick Bites,,Mughlai,300,Delivery
Grow Fit,Yes,No,3.6/5,16,JP Nagar,"Takeaway, Delivery",,"Healthy Food, North Indian, Thai",500,Delivery
The House Of Vadapav,Yes,No,,0,Banashankari,Quick Bites,,,150,Delivery
Cutcakes,Yes,No,,0,Kumaraswamy Layout,"Takeaway, Delivery",,Bakery,300,Delivery
Lassi Spot,Yes,No,3.3/5,4,Kumaraswamy Layout,Beverage Shop,,,100,Delivery
Sandwich Hub,Yes,No,3.4/5,12,Jayanagar,Quick Bites,,"Fast Food, Sandwich",300,Delivery
Healthy Bakes 'n' Brew,Yes,No,,0,Jayanagar,Bakery,,Bakery,150,Delivery
Udupi Sri Krishna Cafe,Yes,No,3.9/5,14,Jayanagar,Casual Dining,,"North Indian, South Indian",600,Delivery
Starlite Bakery & Fastfood,Yes,No,3.7/5,0,Jayanagar,Quick Bites,,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300,Delivery
Veganbreak24x7,Yes,No,2.8/5,5,City Market,"Takeaway, Delivery",,"South Indian, Chinese, Continental, Biryani",199,Delivery
Aadhya Hotel,Yes,No,3.3/5,5,Basavanagudi,"Casual Dining, Bar",,"South Indian, North Indian, Chinese, Biryani",800,Delivery
Dodda Mane Baaduta,Yes,No,3.5/5,15,Banashankari,Quick Bites,,"North Indian, South Indian, Chinese, Biryani",250,Delivery
Swadd Kitchen,Yes,No,3.4/5,4,Basavanagudi,Casual Dining,,"North Indian, Fast Food",500,Delivery
Nandini Milk Parlour and Restaurant,Yes,No,,0,Mysore Road,"Dessert Parlor, Quick Bites",,"Sandwich, Rolls, South Indian, Ice Cream",250,Delivery
Happy Chopsticks,Yes,No,3.6/5,17,Basavanagudi,Quick Bites,,"Chinese, Fast Food",300,Delivery
Sai Super Sandwich,Yes,No,NEW,0,Banashankari,Quick Bites,,"Sandwich, Beverages",200,Delivery
Right Pizza,Yes,No,NEW,0,Basavanagudi,Quick Bites,,Pizza,300,Delivery
Udupi Upachar,Yes,No,3.3/5,6,Banashankari,Quick Bites,,"South Indian, North Indian",500,Delivery
Davanagere Benne Dose Hut,Yes,No,3.4/5,10,Banashankari,Quick Bites,,South Indian,100,Delivery
The Sip Shop,Yes,No,NEW,0,Basavanagudi,Quick Bites,,"Pizza, Beverages, Ice Cream",200,Delivery
Jalsa,Yes,Yes,4.1/5,775,Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800,Delivery
Subz,Yes,Yes,4.2/5,2022,Jayanagar,Casual Dining,"Veg Buffet, Pasta, Salads, Rasmalai, Chaat, Biryani, Fries","North Indian, South Indian","1,000",Delivery
Rajastani Rasoi,Yes,No,,0,Basavanagudi,Quick Bites,,North Indian,100,Delivery
Sri Banashankari Upahara,Yes,No,NEW,0,Kumaraswamy Layout,Quick Bites,,"North Indian, South Indian",150,Delivery
Cafe Shuffle,Yes,Yes,4.2/5,150,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600,Delivery
Mint and Mustard,Yes,No,4.0/5,232,Basavanagudi,Casual Dining,"Paneer Tikka, Masala Papad, Garlic Naan","North Indian, Chinese",750,Delivery
Chinese Square,Yes,No,3.9/5,38,Basavanagudi,Quick Bites,,Chinese,200,Delivery
Hyderabad Express,Yes,No,NEW,0,Banashankari,Quick Bites,,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",300,Delivery
Punjabi Raswada,Yes,Yes,3.5/5,431,Jayanagar,Casual Dining,"Gajar Ka Halwa, Lassi, Jeera Rice, Shahi Paneer, Shikanji, Makke Ki Roti, Kofta Curry",North Indian,800,Delivery
Vinny's,Yes,Yes,4.2/5,2115,Banashankari,Casual Dining,"Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad","Pizza, Italian, Continental, Desserts",800,Delivery
Chetty's Corner,Yes,No,3.4/5,30,Uttarahalli,Quick Bites,,"Fast Food, Burger, Pizza",200,Delivery
Kapoor's Cafe,Yes,No,4.2/5,150,Jayanagar,Casual Dining,"Lassi, French Fries, Cheese Balls, Paneer Pakora, Dal Makhani, Buttermilk, Cheese Paratha",North Indian,800,Delivery
Donne Biryani & Kabab Corner,Yes,No,3.3/5,12,Kumaraswamy Layout,Quick Bites,,"Chinese, Biryani",200,Delivery
Sukh Sagar,Yes,No,3.8/5,155,Jayanagar,Casual Dining,"Pav Bhaji, Chaat, Sandwiches, Coffee, Noodles, Masala Dosa, Roti","South Indian, North Indian, Chinese, Street Food",450,Delivery
S M V Snacks Corner,Yes,No,3.7/5,33,Basavanagudi,Quick Bites,,Fast Food,200,Delivery
Andhra Ruchulu,Yes,Yes,4.1/5,666,Jayanagar,"Casual Dining, Bar","Andhra Meal, Mutton Biryani, Chicken Sholay, Chicken Biryani, Chicken Guntur, Andhra Thali, Guava Ice Cream","Andhra, Biryani, North Indian, Chinese","1,000",Delivery
The Samosa Co,Yes,No,,0,Jayanagar,Quick Bites,,"Fast Food, Mithai",200,Delivery
Steaming Mugs,Yes,No,3.9/5,240,Basavanagudi,Cafe,"Fries, Oreo Shake, Pasta Arrabiata",Cafe,700,Delivery
San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Delivery
Rajathadri Food Fort,Yes,No,4.0/5,465,Jayanagar,Casual Dining,"Butter Naan, Filter Coffee, Pav Bhaji, Vada, Babycorn Manchurian, Tea, Paneer Tikka Masala","South Indian, North Indian, Chinese, Street Food",600,Delivery
Brew Meister,Yes,Yes,4.1/5,970,Jayanagar,"Microbrewery, Casual Dining","Cocktails, Pasta, Paneer Tikka, Mocktails, Wheat Beer, Corn Paratha, Misal Pav","North Indian, Continental, Finger Food, American, Asian","1,500",Delivery
Rasoi,Yes,No,3.3/5,128,Banashankari,Quick Bites,"Lassi, Panneer Butter Masala, Paratha, Thali","North Indian, Chinese",300,Delivery
Mr. Singh Da Dhaba,Yes,No,3.6/5,241,Kumaraswamy Layout,Quick Bites,"Mughlai Paratha, Laccha Paratha, Rolls","North Indian, Chinese",300,Delivery
Kababs N Biryani,Yes,No,3.4/5,22,Banashankari,Quick Bites,,South Indian,200,Delivery
Ayodhya Upachar,Yes,No,4.3/5,734,Banashankari,Quick Bites,"Panneer Butter Masala, Vada, Curd Rice, Idli, Jeera Rice, Naan, Kulcha","South Indian, North Indian, Chinese, Street Food",200,Delivery
Biriyani Mane,Yes,No,3.8/5,130,Jayanagar,Quick Bites,"Biryani, Chilli Chicken, Neer Dosa","North Indian, Biryani",400,Delivery
Cafe Ajfan,Yes,No,4.2/5,261,Jayanagar,Cafe,"Sandwiches, Pasta, Cobb Salad, Pizza, Burgers, Calzone, Fries","Cafe, Continental, Beverages",700,Delivery
Brundhavana Food Point,Yes,No,4.0/5,191,Kumaraswamy Layout,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Street Food, Beverages",300,Delivery
SLV Corner Restaurant,Yes,No,4.1/5,364,Basavanagudi,Casual Dining,"Masala Dosa, Filter Coffee, Maddur Vada, Curd Vadai, Onion Dosa, Upma, Sunday Breakfast","South Indian, Chinese, North Indian, Street Food, Rolls, Juices",550,Delivery
Biryani Royals Garden,Yes,No,NEW,0,Kumaraswamy Layout,Quick Bites,,"North Indian, Biryani, Mughlai",500,Delivery
Hotel New Karavali,Yes,No,3.8/5,133,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",300,Delivery
The Krishna Grand,Yes,No,3.9/5,888,Banashankari,Casual Dining,"Spring Dosa, Coffee, Spring Roll, Masala Papad, Rava Idli, Panneer Butter Masala, Chaat","North Indian, South Indian, Chinese, Fast Food, Juices",750,Delivery
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400,Delivery
Roti Ghar,Yes,No,3.9/5,750,Basavanagudi,Casual Dining,"Coffee, Spring Roll, Roti, Panneer Butter Masala, Noodles, Butter Naan, Masala Dosa","North Indian, Chinese, South Indian",500,Delivery
The Coffee Shack,Yes,Yes,4.2/5,164,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500,Delivery
Multi Snacky Hub,No,No,NEW,0,Basavanagudi,Quick Bites,,Fast Food,200,Delivery
Kettle & Kegs,Yes,No,3.2/5,6,Banashankari,Delivery,,"Tea, Beverages",200,Delivery
Baisakhi,Yes,No,3.8/5,527,Basavanagudi,Casual Dining,"Masala Chaach, Tomato Shorba, Gajar Ka Halwa, Biryani, Deluxe Punjabi Thali, Rajma, Paneer Tikka Masala",North Indian,500,Delivery
Corner House Ice Cream,No,No,4.3/5,345,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,Desserts
Poonam Sweets,No,No,4.4/5,356,Banashankari,Sweet Shop,"Dhokla, Jalebi, Badam Milk, Rabri, Rasgulla, Rasmalai, Samosa Kachori",Mithai,150,Desserts
XO Belgian Waffle,Yes,No,3.7/5,17,Banashankari,Dessert Parlor,,"Desserts, Beverages",400,Desserts
Old Mumbai Ice Cream,Yes,No,3.9/5,38,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150,Desserts
Cake of the Day,No,No,3.7/5,78,Banashankari,"Bakery, Dessert Parlor",,Bakery,150,Desserts
Amma's Pastries,No,No,3.8/5,60,Banashankari,Dessert Parlor,,Bakery,400,Desserts
Kanti Sweets,Yes,No,4.0/5,115,Banashankari,Sweet Shop,,"Mithai, Street Food",400,Desserts
Sugar Rush,No,No,3.8/5,39,Banashankari,Bakery,,"Bakery, Desserts",300,Desserts
Polar Bear,Yes,No,3.9/5,116,Banashankari,Dessert Parlor,"Sandwiches, Hot Chocolate Fudge, Strawberry Milkshake","Ice Cream, Desserts, Beverages, Sandwich",400,Desserts
San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Desserts
Anand Sweets and Savouries,No,No,3.7/5,46,Banashankari,"Sweet Shop, Quick Bites",,"Mithai, Street Food",400,Desserts
Ibaco,Yes,No,3.9/5,41,Banashankari,Dessert Parlor,,Desserts,300,Desserts
Kirthi's Biryani,Yes,No,3.8/5,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Desserts
The Lassi and Juice Park,No,No,3.8/5,28,Banashankari,"Beverage Shop, Dessert Parlor",,"Juices, Desserts",150,Desserts
Stoned Monkey,Yes,No,4.3/5,860,Banashankari,Dessert Parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500,Desserts
Parimala Sweets,No,No,3.5/5,14,Banashankari,Sweet Shop,,"Mithai, Street Food",200,Desserts
The Big O Bakes,No,No,4.0/5,66,Banashankari,Bakery,,"Bakery, Desserts",300,Desserts
Shree Mahalakshmi Sweets,Yes,No,3.2/5,8,Banashankari,Sweet Shop,,"Mithai, Street Food",100,Desserts
Keventers,Yes,No,3.7/5,54,Banashankari,"Beverage Shop, Dessert Parlor",,"Desserts, Beverages, Ice Cream",400,Desserts
Dessert Rose,No,No,3.5/5,7,Banashankari,Dessert Parlor,,Desserts,500,Desserts
Thanco's Natural Ice Creams,No,No,3.2/5,9,Banashankari,Dessert Parlor,,Ice Cream,300,Desserts
Corner Stone,No,No,3.6/5,42,Banashankari,"Beverage Shop, Quick Bites",,"Beverages, Juices, Desserts, Italian",300,Desserts
Kaggis,No,No,3.8/5,64,Banashankari,Quick Bites,,"Fast Food, Bakery",250,Desserts
Cocoa Bakes,Yes,No,3.6/5,14,Banashankari,Bakery,,"Bakery, Desserts",350,Desserts
Floured-Baked With Love,No,No,3.8/5,45,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400,Desserts
CAFE NOVA,No,No,3.2/5,11,Banashankari,Cafe,,"Cafe, Bakery",600,Desserts
Cakes & Slices,No,No,3.5/5,13,Banashankari,Bakery,,"Bakery, Desserts",300,Desserts
Arun Ice Cream,No,No,3.4/5,7,Banashankari,Dessert Parlor,,"Ice Cream, Desserts",150,Desserts
Just Bake,No,No,3.4/5,8,Banashankari,Bakery,,"Bakery, Desserts",400,Desserts
Dharwad Line Bazaar Mishra Pedha,No,No,,0,Banashankari,Dessert Parlor,,Mithai,150,Desserts
Cake Bite,No,No,,0,Banashankari,Bakery,,Bakery,300,Desserts
Kwality Wall's Swirl's Happiness Station,No,No,2.9/5,25,Banashankari,Dessert Parlor,,"Ice Cream, Desserts",200,Desserts
Melting Melodies,No,No,NEW,0,Banashankari,Bakery,,Bakery,300,Desserts
Sweet N Swirl,No,No,3.2/5,17,Banashankari,Dessert Parlor,,"Desserts, Ice Cream",150,Desserts
Me And My Cake,No,No,,0,Banashankari,Delivery,,"Bakery, Desserts",500,Desserts
Mukesh Sweet Centre,No,No,,0,Banashankari,Sweet Shop,,Mithai,300,Desserts
Darkolates,No,No,,0,Banashankari,Confectionery,,Desserts,200,Desserts
Sai Super Sandwich,Yes,No,NEW,0,Banashankari,Quick Bites,,"Sandwich, Beverages",200,Desserts
Sweet Truth,Yes,No,3.9/5,35,Banashankari,Delivery,,"Bakery, Desserts",500,Desserts
Waffle-A-Go Go,Yes,No,3.9/5,70,Banashankari,Dessert Parlor,Waffles,"Fast Food, Desserts, Ice Cream",400,Desserts
Gopi Ice Creams,No,No,NEW,0,Banashankari,Dessert Parlor,,Ice Cream,100,Desserts
Sri Venkateshwara Sweet Meat Stall,No,No,4.0/5,98,Basavanagudi,"Sweet Shop, Quick Bites","Mysore Pak, Pav Bhaji, Chaat, Masala Poori, Badam Milk, Paratha, Panipuri","Mithai, Street Food, North Indian, Chinese",400,Desserts
Baskin Robbins,No,No,3.7/5,25,Basavanagudi,Dessert Parlor,,"Ice Cream, Desserts",250,Desserts
Redberrys,Yes,No,4.0/5,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Desserts
Amande Patisserie,Yes,No,4.0/5,73,Basavanagudi,Bakery,"Macaroon, Mousse, Caramel Eclair","Bakery, French, Desserts",300,Desserts
Srinivasa Brahmins Bakery,No,No,3.6/5,16,Basavanagudi,"Bakery, Quick Bites",,"Bakery, Street Food",150,Desserts
Jain Bakes,No,No,3.6/5,8,Basavanagudi,Bakery,,"Bakery, Desserts",250,Desserts
Cake Ghar,Yes,No,3.8/5,15,Basavanagudi,Bakery,,Bakery,400,Desserts
KC Das - Sweet Spot,No,No,3.6/5,46,Basavanagudi,"Sweet Shop, Quick Bites",,"Mithai, Street Food",200,Desserts
Sugar Stars Co,No,No,,0,Basavanagudi,Bakery,,"Bakery, Desserts",300,Desserts
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3/5,13,Basavanagudi,"Dessert Parlor, Sweet Shop",,"Desserts, Mithai",300,Desserts
Cake Yard,Yes,No,3.3/5,9,Basavanagudi,Dessert Parlor,,Desserts,250,Desserts
Iceberg Icecreams,Yes,No,4.0/5,43,Basavanagudi,Dessert Parlor,,"Desserts, Ice Cream",250,Desserts
A2B Veg - Adyar Ananda Bhavan,Yes,No,2.7/5,97,Basavanagudi,Casual Dining,Masala Dosa,"South Indian, North Indian, Chinese, Street Food",400,Desserts
Bombay Kulfis,No,No,,0,JP Nagar,Dessert Parlor,,Ice Cream,200,Desserts
Sri Krishna Sweets,Yes,No,3.7/5,22,Basavanagudi,Sweet Shop,,"Mithai, Desserts",250,Desserts
Cake Art,No,No,3.5/5,15,Basavanagudi,"Bakery, Quick Bites",,Bakery,400,Desserts
Cakecraft,No,No,,0,Jayanagar,Takeaway,,Desserts,350,Desserts
